name,minecraft_version,author,created_at,forum_url
[1.7.3] StoneBrick [MODLOADER REQUIRED],,Zudaner,20/08/2011,http://www.minecraftforum.net/topic/565204-173-stonebrick-modloader-required/
Extra's Mod,,zta192,8/6/2011,http://www.minecraftforum.net/topic/368210-extras-mod/
[1.7.2]Toggleable Sneak![v1.1.1][Autorun Included!],,zrowny,28/06/2011,http://www.minecraftforum.net/topic/409667-172toggleable-sneakv111autorun-included/
[1.7.2]Durable Tools![v1.1],,zrowny,30/06/2011,http://www.minecraftforum.net/topic/412811-172durable-toolsv11/
[1.8.1] Zrowny's Mods [DURABLE TOOLS UPDATED!],,zrowny,28/07/2011,http://www.minecraftforum.net/topic/508982-181-zrownys-mods-durable-tools-updated/
[MOD] 1.5_01 Chess Pieces,,Zrakki,10/6/2011,http://www.minecraftforum.net/topic/371684-mod-15-01-chess-pieces/
[1.8.1]Nikku's Mod Pack v0.7,,zpstudios,3/10/2011,http://www.minecraftforum.net/topic/682719-181nikkus-mod-pack-v07/
[1.7.3] Psycho NPCs - My First Mod <3,,Zovator,30/08/2011,http://www.minecraftforum.net/topic/587727-173-psycho-npcs-my-first-mod-3/
[1.7.3] ObsidianTools,,Zovator,3/9/2011,http://www.minecraftforum.net/topic/597172-173-obsidiantools/
[1.8.1] RPGcraft modpack 1.0,,Zoropie5,11/11/2011,http://www.minecraftforum.net/topic/780028-181-rpgcraft-modpack-10/
[V1.3 (Partially)]Zorn's Mod DISCONTINUED,,Zorn_Taov,10/2/2011,http://www.minecraftforum.net/topic/160387-v13-partiallyzorns-mod-discontinued/
[1.6.6] Benji's Creeper Mod [v1.00],,Zorlin,30/06/2011,http://www.minecraftforum.net/topic/415053-166-benjis-creeper-mod-v100/
[1.3_01]Slime Block,,zorakid7227,27/03/2011,http://www.minecraftforum.net/topic/227354-13-01slime-block/
worlds best mod,,zoolop,27/03/2011,http://www.minecraftforum.net/topic/227164-worlds-best-mod/
mo mentos,,zoolop,27/03/2011,http://www.minecraftforum.net/topic/227165-mo-mentos/
"Woah, you guys are awesome coders/programmers/mod makers!",,Zontafer,30/04/2011,http://www.minecraftforum.net/topic/296115-woah-you-guys-are-awesome-codersprogrammersmod-makers/
[V1.4] ZomgWhatsThis Dutch Translation,,ZomgWhatsThis,4/4/2011,http://www.minecraftforum.net/topic/242724-v14-zomgwhatsthis-dutch-translation/
[1.7.3]More Blocks Mod,,ZombifiedMINECRAFT,18/07/2011,http://www.minecraftforum.net/topic/484177-173more-blocks-mod/
[1.8.1]More Blocks Mod v2.2,,ZombifiedMINECRAFT,28/09/2011,http://www.minecraftforum.net/topic/669142-181more-blocks-mod-v22/
ZombieWaflle's ModPack [1.8.1]   V  [0.1],,ZombieWaflle,4/11/2011,http://www.minecraftforum.net/topic/763989-zombiewaflles-modpack-181-v-01/
[1.7.3] ZPC's SweetMod!,,Zombiepigcreeper,8/8/2011,http://www.minecraftforum.net/topic/536072-173-zpcs-sweetmod/
NooR Craft,,zombieman379,5/12/2011,http://www.minecraftforum.net/topic/844401-noor-craft/
SDK gun mod,,ZoMbie_SPARTAN,29/05/2011,http://www.minecraftforum.net/topic/346557-sdk-gun-mod/
Looking for a mod,,Zombie_Killing,21/09/2011,http://www.minecraftforum.net/topic/648426-looking-for-a-mod/
[1.7.3]Trees and Stuff[v1.1],,zombehking,27/08/2011,http://www.minecraftforum.net/topic/581532-173trees-and-stuffv11/
(1.9 pre 2 and above) Minecraft 1.9 Different Villager Skins v3,,zolo-skulldu,1/10/2011,http://www.minecraftforum.net/topic/678605-19-pre-2-and-above-minecraft-19-different-villager-skins-v3/
My Mod Link (Villager Skins NPC Mod),,zolo-skulldu,2/10/2011,http://www.minecraftforum.net/topic/678977-my-mod-link-villager-skins-npc-mod/
My Mod Link (Villager Skins NPC Mod),,zolo-skulldu,2/10/2011,http://www.minecraftforum.net/topic/678992-my-mod-link-villager-skins-npc-mod/
[REQ] Your First Dragon,,ZoLee7331,30/05/2011,http://www.minecraftforum.net/topic/349761-req-your-first-dragon/
Meteorite Equipment Mod,,Zock70,12/10/2011,http://www.minecraftforum.net/topic/706701-meteorite-equipment-mod/
Modding trubles,,zock629,24/09/2011,http://www.minecraftforum.net/topic/657294-modding-trubles/
[V1.2.5]Landrover (v0.999) and Mecha(0.25)(outdated) and Tail(v1)(outdated),,zlyfire,26/02/2011,http://www.minecraftforum.net/topic/183021-v125landrover-v0999-and-mecha025outdated-and-tailv1outdated/
[1.4_01]Deathbricks,,zlyfire,13/04/2011,http://www.minecraftforum.net/topic/260167-14-01deathbricks/
[1.8.1]Perspective-Blocks [BLOCK][V1.1],,Zitrone77,24/10/2011,http://www.minecraftforum.net/topic/738589-181perspective-blocks-blockv11/
Need well done mods made.,,Zirrom,1/4/2011,http://www.minecraftforum.net/topic/234876-need-well-done-mods-made/
[1.7.3] Missing Blocks Mod [WIP],,zingzang454,29/08/2011,http://www.minecraftforum.net/topic/586369-173-missing-blocks-mod-wip/
[1.8.1] The Time Stick,,Zimmy Mods,20/09/2011,http://www.minecraftforum.net/topic/646190-181-the-time-stick/
[1.7.3] Zillionair1's Mods,,Zillionair1,27/02/2011,http://www.minecraftforum.net/topic/183619-173-zillionair1s-mods/
[mod] INSTANTMINE SINGLEPLAYER ONLY 1.5_01,,ziggyman77,27/05/2011,http://www.minecraftforum.net/topic/343223-mod-instantmine-singleplayer-only-15-01/
Sweet,,Ziflow7,1/10/2011,http://www.minecraftforum.net/topic/678472-sweet/
Minecraft More Ores V4: Completed Update,,ziddia,11/2/2011,http://www.minecraftforum.net/topic/161854-minecraft-more-ores-v4-completed-update/
[1.5_01]Zid's Mods: Hammers and Ores!![WIP][ORES],,ziddia,10/4/2011,http://www.minecraftforum.net/topic/254821-15-01zids-mods-hammers-and-oreswipores/
[1.8.1]StringTranslatorMod[API][Updating],,ziddia,19/11/2011,http://www.minecraftforum.net/topic/798859-181stringtranslatormodapiupdating/
[All Versions] StringTranslatorMod - Properties Files! [API],,ziddia,22/11/2011,http://www.minecraftforum.net/topic/808262-all-versions-stringtranslatormod-properties-files-api/
Integrated mod~!,,zhdkffk21,19/03/2011,http://www.minecraftforum.net/topic/214031-integrated-mod/
[Beta 1.7_3]Power Gear[CLOSED],,ZGred,29/07/2011,http://www.minecraftforum.net/topic/510464-beta-17-3power-gearclosed/
[V1.3_1] OverKill Minecraft | New Recipes | More Items,,ZGA,9/2/2011,http://www.minecraftforum.net/topic/160049-v13-1-overkill-minecraft-new-recipes-more-items/
"[1.6.5] Repair My Items [5,000+ DL's]",,ZGA,1/3/2011,http://www.minecraftforum.net/topic/188043-165-repair-my-items-5000-dls/
[1.4_01] Breakfast | Cheerios &amp; Pancakes!,,ZGA,7/4/2011,http://www.minecraftforum.net/topic/247278-14-01-breakfast-cheerios-pancakes/
Help on adding sound effects?,,Zexanima,24/10/2011,http://www.minecraftforum.net/topic/738797-help-on-adding-sound-effects/
[1.8.1] Zexanima's Mods,,Zexanima,24/10/2011,http://www.minecraftforum.net/topic/738891-181-zexanimas-mods/
[1.8.1] Zewl's MenuMod V1.5,,Zewlzor,3/10/2011,http://www.minecraftforum.net/topic/683701-181-zewls-menumod-v15/
[1.3_01] &quot;Store On Collision&quot; v2.5.1,,ZeuX,20/11/2010,http://www.minecraftforum.net/topic/83547-13-01-store-on-collision-v251/
[1.3_01] Automatic Furnaces 1.2,,ZeuX,9/12/2010,http://www.minecraftforum.net/topic/96073-13-01-automatic-furnaces-12/
[1.4]Crying Obsidian and Craftable Coal[Version 1.1],,ZethSlayer,2/4/2011,http://www.minecraftforum.net/topic/238932-14crying-obsidian-and-craftable-coalversion-11/
[1.4_01] ZethMod [Version 1.1],,ZethSlayer,5/4/2011,http://www.minecraftforum.net/topic/245320-14-01-zethmod-version-11/
[1.5_01] Zero's Mods,,zeRobuRn,5/4/2011,http://www.minecraftforum.net/topic/244163-15-01-zeros-mods/
[1.8.1] Change fog/render distance without holding F3,,zero7717,18/09/2011,http://www.minecraftforum.net/topic/642895-181-change-fogrender-distance-without-holding-f3/
[1.7.3]Zerk's Useful Mods,,ZERKAAAA,7/7/2011,http://www.minecraftforum.net/topic/442065-173zerks-useful-mods/
"[1.7.3]Power Mineral Mod(Tools, Gems, Armor and more!)",,ZERKAAAA,2/8/2011,http://www.minecraftforum.net/topic/519171-173power-mineral-modtools-gems-armor-and-more/
[1.7.3]Alchemy[v1.01],,zerix807,11/7/2011,http://www.minecraftforum.net/topic/466517-173alchemyv101/
[1.5_1]Obsidian Ingot [1.1],,Zer0T3ch,9/5/2011,http://www.minecraftforum.net/topic/313758-15-1obsidian-ingot-11/
[1.8.1] Convenient Inventory,,Zer0T3ch,26/07/2011,http://www.minecraftforum.net/topic/504091-181-convenient-inventory/
[1.7.3] Uranium (Ore) v1.0 (UPDATE!!!!!),,Zer0T3ch,3/9/2011,http://www.minecraftforum.net/topic/596667-173-uranium-ore-v10-update/
SulfurBlock Mod V1 [1.7_03],,zephrus,21/07/2011,http://www.minecraftforum.net/topic/491570-sulfurblock-mod-v1-17-03/
[1.7.3] Eazycraft My Mods,,zenycrafter,25/08/2011,http://www.minecraftforum.net/topic/576434-173-eazycraft-my-mods/
More Symbols,,Zening,22/11/2011,http://www.minecraftforum.net/topic/807157-more-symbols/
CoalBrick [1.0.0],,Zening,5/12/2011,http://www.minecraftforum.net/topic/844028-coalbrick-100/
Deserters,,Zen42,27/08/2011,http://www.minecraftforum.net/topic/580605-deserters/
[1.7.3] SimpleGranite 1.2,,Zemagris,6/8/2011,http://www.minecraftforum.net/topic/530728-173-simplegranite-12/
[1.7.3][0.6B] TooManyItems Recipe Addon - Updated 9/16,,Zeldo,15/09/2011,http://www.minecraftforum.net/topic/632016-17306b-toomanyitems-recipe-addon-updated-916/
[REQ] Currency mod with coins !,,Zeak92,26/05/2011,http://www.minecraftforum.net/topic/340933-req-currency-mod-with-coins/
[1.7.3] The dirt light,,zdude18.7,3/9/2011,http://www.minecraftforum.net/topic/596072-173-the-dirt-light/
[1.8.1]Zdmshadow's Mods,,zdmshadow,9/7/2011,http://www.minecraftforum.net/topic/453264-181zdmshadows-mods/
[1.0.0] Falling Water,,Zarigani,14/11/2011,http://www.minecraftforum.net/topic/787547-100-falling-water/
[v1.5_01] Minecart Speed - know your minecart current speed,,zarevak,27/04/2011,http://www.minecraftforum.net/topic/291062-v15-01-minecart-speed-know-your-minecart-current-speed/
[1.7.3] Colored Light Blocks 1.0 + Graveyard Mod 1.1 + Stylish Mod 1.2,,zaratustra,27/07/2011,http://www.minecraftforum.net/topic/506956-173-colored-light-blocks-10-graveyard-mod-11-stylish-mod-12/
[DISCONTINUED] Aether items patch for use with TMI,,zapmunk,24/07/2011,http://www.minecraftforum.net/topic/499548-discontinued-aether-items-patch-for-use-with-tmi/
[1.2.4] [TMI mod] [UN-DISCONTINUED] patch to show excluded IDs,,zapmunk,29/07/2011,http://www.minecraftforum.net/topic/511146-124-tmi-mod-un-discontinued-patch-to-show-excluded-ids/
I NEED HELP PLEASE?!,,Zapatos,3/5/2011,http://www.minecraftforum.net/topic/302554-i-need-help-please/
[1.0.0] Wooly Sheep v1.3,,Zaneth,30/11/2011,http://www.minecraftforum.net/topic/830312-100-wooly-sheep-v13/
[SMP] [1.7.3] zambozaxx's Obsidian Mod [WIP][v0.3],,zambozaxx,24/08/2011,http://www.minecraftforum.net/topic/574150-smp-173-zambozaxxs-obsidian-mod-wipv03/
[1.5_01] Pseudo Physics v1.5_01a final (source code only),,zalg,27/03/2011,http://www.minecraftforum.net/topic/228291-15-01-pseudo-physics-v15-01a-final-source-code-only/
"[WallHack, SpeedHack, Fullbright, High Jump, Instant Mining]",,zakcng,2/5/2011,http://www.minecraftforum.net/topic/300802-wallhack-speedhack-fullbright-high-jump-instant-mining/
[1.4_01] Functional books &amp; Bookshelves,,zailiner,17/04/2011,http://www.minecraftforum.net/topic/265909-14-01-functional-books-bookshelves/
[1.7.3] GeoCraft [V 1.1.1a] + GeoTools [V 0.2] Alternative Update!,,Zaikyu,14/07/2011,http://www.minecraftforum.net/topic/474012-173-geocraft-v-111a-geotools-v-02-alternative-update/
[1.1.0]Zaedes' DecoMod[V3.01],,Zaedes,5/11/2011,http://www.minecraftforum.net/topic/765851-110zaedes-decomodv301/
[1.7.3] Team Fortress 2 Mods! [WIP],,zadar97,25/08/2011,http://www.minecraftforum.net/topic/576017-173-team-fortress-2-mods-wip/
Minecraft mods list.,,Zacman587,7/12/2011,http://www.minecraftforum.net/topic/847797-minecraft-mods-list/
[1.1] [Client and Server] Coal To Diamond,,Zachster1996,31/10/2011,http://www.minecraftforum.net/topic/754437-11-client-and-server-coal-to-diamond/
[1.7.3]Game Menu Remover [UI FIX],,ZachBora,30/07/2011,http://www.minecraftforum.net/topic/512405-173game-menu-remover-ui-fix/
[V1.7.3] The Epic Ores ModPack,,zachary0005,5/8/2011,http://www.minecraftforum.net/topic/527094-v173-the-epic-ores-modpack/
[1.3_01] No Mob Pop-in,,Zacaj,25/03/2011,http://www.minecraftforum.net/topic/223241-13-01-no-mob-pop-in/
green sheep mod,,za_kyew,6/7/2011,http://www.minecraftforum.net/topic/435646-green-sheep-mod/
[1.5_01]All Natural Apples,,z11,14/04/2011,http://www.minecraftforum.net/topic/261402-15-01all-natural-apples/
[1.5_01]CraftIce,,z11,9/5/2011,http://www.minecraftforum.net/topic/313313-15-01craftice/
[V1.4_01] Frozen Sand [MOD],,Z-Marotrix,4/4/2011,http://www.minecraftforum.net/topic/241724-v14-01-frozen-sand-mod/
[1.6.5/1.5_01]Yuuki's Mods[400+ DLs!][ModLoader],,yuukikaihou,18/05/2011,http://www.minecraftforum.net/topic/327835-16515-01yuukis-mods400-dlsmodloader/
[1.6.6] Terra Cotta Mod(300+ Downloads!),,yuukikaihou,15/06/2011,http://www.minecraftforum.net/topic/381146-166-terra-cotta-mod300-downloads/
[1.7.2] Sheep Color Mod 300+ downloads!,,yuukikaihou,17/06/2011,http://www.minecraftforum.net/topic/385113-172-sheep-color-mod-300-downloads/
[1.6.6] Padded Wooden Armor Mod [It makes sense],,yuukikaihou,21/06/2011,http://www.minecraftforum.net/topic/396337-166-padded-wooden-armor-mod-it-makes-sense/
Battlecraft,,yutub34,3/11/2011,http://www.minecraftforum.net/topic/761274-battlecraft/
Battlecraft,,yutub34,5/11/2011,http://www.minecraftforum.net/topic/765105-battlecraft/
Mo' Creatures Mod,,yurruler9128,9/4/2011,http://www.minecraftforum.net/topic/252522-mo-creatures-mod/
"[V1.5_01]Yuri's Mods (New TNT, Slime fixes, Blood!)",,YuriKahn,13/03/2011,http://www.minecraftforum.net/topic/206331-v15-01yuris-mods-new-tnt-slime-fixes-blood/
[1.2.5] No Auto Menu v1.2,,YukonAppleGeek,29/09/2011,http://www.minecraftforum.net/topic/672559-125-no-auto-menu-v12/
*//,,yoyoman1234,16/09/2011,http://www.minecraftforum.net/topic/635027--/
[1.8.1]CocoCraft Mod[WIP][v0.7][DISCONTINUED],,YoWazzup,7/9/2011,http://www.minecraftforum.net/topic/607356-181cococraft-modwipv07discontinued/
[1.8.1]CocoCraft Mod[WIP][v0.7],,YoWazzup,30/11/2011,http://www.minecraftforum.net/topic/831055-181cococraft-modwipv07/
[1.7.3] Mineable Bedrock!,,YoutubeStarRobola12,19/07/2011,http://www.minecraftforum.net/topic/487499-173-mineable-bedrock/
[1.7.3] ColorSplash 1.2.0,,yousefak,16/08/2011,http://www.minecraftforum.net/topic/554277-173-colorsplash-120/
[1.1] EEE EEE EE° GuiMods 3.0A EEE EEE EE° | In-Game Tex Pack Switcher | GUI Customization | Block Texture Customization | More!,,yousefak,23/08/2011,http://www.minecraftforum.net/topic/572655-11-%e2%98%85-%e2%98%86-%e2%9c%b0-guimods-30a-%e2%98%85-%e2%98%86-%e2%9c%b0-in-game-tex-pack-switcher-gui-customization-block-texture-customization-more/
[1.3.1] Auto-Torch Mod! V6 - Never place a torch again!,,Yourleader16,12/9/2011,http://www.minecraftforum.net/topic/620985-131-auto-torch-mod-v6-never-place-a-torch-again/
[1.7.3] [WIP] Jasper [V0.1.2] [HelpWanted],,YourFriendlyGamer,24/08/2011,http://www.minecraftforum.net/topic/573401-173-wip-jasper-v012-helpwanted/
[1.8.1] [YFM] ROBOCRAFT mod-updates,,yourfavoritemoders,21/09/2011,http://www.minecraftforum.net/topic/648188-181-yfm-robocraft-mod-updates/
[1.7.3] SandStone Craft!,,Younga_Henrik,15/07/2011,http://www.minecraftforum.net/topic/476583-173-sandstone-craft/
[1.7.3] SandStone Craft!,,Younga_Henrik,15/07/2011,http://www.minecraftforum.net/topic/476616-173-sandstone-craft/
[v1.7.3]Terracraft !OUTDATED TOPIC!,,YoshisIsland,6/6/2011,http://www.minecraftforum.net/topic/364814-v173terracraft-outdated-topic/
(1.8.1)Grenade Mod 1.2 (fixed it) by 597power,,Yoshidude,2/12/2011,http://www.minecraftforum.net/topic/834605-181grenade-mod-12-fixed-it-by-597power/
[1.8.1] Classic_RPG 1.9 (08/11/2011),,yope_fried,15/10/2011,http://www.minecraftforum.net/topic/714270-181-classic-rpg-19-08112011/
[1.5_01]Medkit Mod [my first mod!],,yoni0505,4/5/2011,http://www.minecraftforum.net/topic/304130-15-01medkit-mod-my-first-mod/
[1.5_01]Strong Stone[Update when MCP is!],,yokcos700,27/05/2011,http://www.minecraftforum.net/topic/342530-15-01strong-stoneupdate-when-mcp-is/
[1.7.3] Difficulty + [Alpha 1.0.0],,yokcos700,9/7/2011,http://www.minecraftforum.net/topic/455908-173-difficulty-alpha-100/
"[1.8.1] (V1.2)MinePrinter: Like Worldedit, only clientsided, and works in multiplayer!",,YogurtFP,18/08/2011,http://www.minecraftforum.net/topic/560889-181-v12mineprinter-like-worldedit-only-clientsided-and-works-in-multiplayer/
[1.3_01] Bone Tools + Armor,,yofreke,5/2/2011,http://www.minecraftforum.net/topic/155022-13-01-bone-tools-armor/
[1.7.3] yofreke's mods,,yofreke,16/06/2011,http://www.minecraftforum.net/topic/383278-173-yofrekes-mods/
[1.7.3] Darth Vader & Dynamic Army System,,yofreke,18/07/2011,http://www.minecraftforum.net/topic/483996-173-darth-vader-dynamic-army-system/
[1.8.1] Adamantium Mod,,Yodix,22/09/2011,http://www.minecraftforum.net/topic/651767-181-adamantium-mod/
[1.8.1] Enhanced Compass Mod [9/15/2011],,Yoda12999,11/4/2011,http://www.minecraftforum.net/topic/255622-181-enhanced-compass-mod-9152011/
[V1.0] Yocairo's fly-mod [New],,Yocairo,19/06/2011,http://www.minecraftforum.net/topic/390097-v10-yocairos-fly-mod-new/
Looking for ppl to help me make mod,,yngiix,30/07/2011,http://www.minecraftforum.net/topic/512759-looking-for-ppl-to-help-me-make-mod/
Yiab's Mods (Now with Explosion-Resistant Glass and Iron Boats),,Yiab,23/03/2011,http://www.minecraftforum.net/topic/220866-yiabs-mods-now-with-explosion-resistant-glass-and-iron-boats/
[1.7.3] MPMenu - Choose from a list of servers!,,yetanotherx,20/05/2011,http://www.minecraftforum.net/topic/329668-173-mpmenu-choose-from-a-list-of-servers/
(DEAD)[V1.7.3]Ninja Mode V1.8[WIP],,Yelik,27/03/2011,http://www.minecraftforum.net/topic/226574-deadv173ninja-mode-v18wip/
(DEAD)[V1.7.3]Insane Mode[V3.9],,Yelik,8/7/2011,http://www.minecraftforum.net/topic/444249-deadv173insane-modev39/
(DEAD)[1.7.3]Elemental Slimes[V 4.1],,Yelik,17/08/2011,http://www.minecraftforum.net/topic/558090-dead173elemental-slimesv-41/
[1.8.1] Pygmy Craft [V 1a][WIP][MOB],,Yelik,23/10/2011,http://www.minecraftforum.net/topic/734384-181-pygmy-craft-v-1awipmob/
can you give me this mod?,,YehiamBenShushan,7/8/2011,http://www.minecraftforum.net/topic/532316-can-you-give-me-this-mod/
[1.6.6]Yegrium Ore[WIP],,Yegie,26/06/2011,http://www.minecraftforum.net/topic/402379-166yegrium-orewip/
[1.2.5] [SMP/SSP] Ye7i's Terraria Trees,,Ye7i,26/11/2011,http://www.minecraftforum.net/topic/818521-125-smpssp-ye7is-terraria-trees/
[1.8 pre 2][SMP] XP Orb Disable (Stop the lag monster!),,Ycros,12/9/2011,http://www.minecraftforum.net/topic/620720-18-pre-2smp-xp-orb-disable-stop-the-lag-monster/
[1.7.3]Easy Obsidian,,Yamist8bit,22/08/2011,http://www.minecraftforum.net/topic/568892-173easy-obsidian/
[1.8.1][WIP]Meteorite 0.7,,Yamist8bit,24/08/2011,http://www.minecraftforum.net/topic/572920-181wipmeteorite-07/
[1.0.0] Yachiru's Many Mods [ Mostly Tweaks For Now ],,Yachiru919,11/9/2011,http://www.minecraftforum.net/topic/617853-100-yachirus-many-mods-mostly-tweaks-for-now/
[1.5_01]Chains![WIP],,Xzumo,10/5/2011,http://www.minecraftforum.net/topic/314743-15-01chainswip/
[1.6.6]Bedrock Remover[Fun],,Xzumo,16/05/2011,http://www.minecraftforum.net/topic/325696-166bedrock-removerfun/
[1.6.5]Glowing Ores[SMP!],,Xzumo,29/05/2011,http://www.minecraftforum.net/topic/348251-165glowing-oressmp/
[1.6.5]Anti-Creeper![WIP],,Xzumo,29/05/2011,http://www.minecraftforum.net/topic/348500-165anti-creeperwip/
[1.7.3] Fast Obsidian Mining!,,xzombieslayerx1,10/7/2011,http://www.minecraftforum.net/topic/457878-173-fast-obsidian-mining/
Adventure Pack,,XyPhoGR,21/07/2011,http://www.minecraftforum.net/topic/491217-adventure-pack/
[1.7.3] The Adventure Pack~ [1.0],,XyPhoGR,21/07/2011,http://www.minecraftforum.net/topic/491219-173-the-adventure-pack-10/
Infinite tools for 1.7.3,,xylius95,10/8/2011,http://www.minecraftforum.net/topic/540208-infinite-tools-for-173/
[1.0.0] XycsoscyX Mods - Equipment API v1.0,,xycsoscyx,5/12/2011,http://www.minecraftforum.net/topic/843119-100-xycsoscyx-mods-equipment-api-v10/
Minecraft stack able food mod,,xXZeuroXx,20/07/2011,http://www.minecraftforum.net/topic/488895-minecraft-stack-able-food-mod/
[1.3_0.1] ZombieMeat,,xxxzzzmark,16/03/2011,http://www.minecraftforum.net/topic/210561-13-01-zombiemeat/
[1.5_0.1] Squid Fix v0.1,,xxxzzzmark,6/5/2011,http://www.minecraftforum.net/topic/307660-15-01-squid-fix-v01/
Laser mod,,xxxPowerEaglexxx,30/11/2011,http://www.minecraftforum.net/topic/829831-laser-mod/
X-ray mod,,xxxPowerEaglexxx,7/12/2011,http://www.minecraftforum.net/topic/848930-x-ray-mod/
The Minecraftcloud,,xxxLukass123xxx,19/11/2011,http://www.minecraftforum.net/topic/799027-the-minecraftcloud/
[1.7.3]Corndog and Milk Mod,,xxxExoxxx,4/9/2011,http://www.minecraftforum.net/topic/600241-173corndog-and-milk-mod/
[1.7.3] Food++,,xxXEliteXxx,15/08/2011,http://www.minecraftforum.net/topic/552659-173-food/
please remove,,xxxBOBxxx,7/8/2011,http://www.minecraftforum.net/topic/532480-please-remove/
[1.2.5] Wand's mod v2.2,,xXx5n1p4xXx,10/11/2011,http://www.minecraftforum.net/topic/778661-125-wands-mod-v22/
How do u make TOOMANYITEMS?,,xxugotowned,6/6/2011,http://www.minecraftforum.net/topic/364512-how-do-u-make-toomanyitems/
SniperCraftV1[1.6] NOT UPDATED,,xxugotowned,12/6/2011,http://www.minecraftforum.net/topic/375470-snipercraftv116-not-updated/
OblivionCraft and MoreItems!,,xXtidusXx,11/7/2011,http://www.minecraftforum.net/topic/467520-oblivioncraft-and-moreitems/
[V1.4]Survival Plus[Hard],,xXShrewXx,2/4/2011,http://www.minecraftforum.net/topic/237785-v14survival-plushard/
[V1.4_01]Survival Plus[0.2],,xXShrewXx,6/4/2011,http://www.minecraftforum.net/topic/246115-v14-01survival-plus02/
[1.8.1]Power Sword![ModLoader][WIP],,xXShrewXx,21/09/2011,http://www.minecraftforum.net/topic/648204-181power-swordmodloaderwip/
[1.6.6] XXMYSTERYXX's Mods!- Mudstone!,,xxmysteryxx,11/6/2011,http://www.minecraftforum.net/topic/374730-166-xxmysteryxxs-mods-mudstone/
Redstone Repeater Fix,,xxmysteryxx,12/7/2011,http://www.minecraftforum.net/topic/470618-redstone-repeater-fix/
easy ore mod,,xxmwizordxx,16/10/2011,http://www.minecraftforum.net/topic/717084-easy-ore-mod/
Magic sword mod,,xxmwizordxx,17/10/2011,http://www.minecraftforum.net/topic/720972-magic-sword-mod/
New robots mod,,xxmwizordxx,20/10/2011,http://www.minecraftforum.net/topic/727083-new-robots-mod/
Robots mod beta,,xxmwizordxx,20/10/2011,http://www.minecraftforum.net/topic/727195-robots-mod-beta/
[1.8.1][SSP] More Food Mod BETA,,xXMrWinXx,16/10/2011,http://www.minecraftforum.net/topic/718156-181ssp-more-food-mod-beta/
[1.8.1]Mr.Win's Mod's,,xXMrWinXx,16/10/2011,http://www.minecraftforum.net/topic/719775-181mrwins-mods/
[1.7.3]SuperCool,,xXMinecraftModerXx,14/08/2011,http://www.minecraftforum.net/topic/550175-173supercool/
